movieId,index
629049,1652
80864,1653
1563270,1654
60042,1655
1509158,1656
967796,1657
1597509,1658
80889,1659
485172,1660
50531,1661
1619638,1662
1602460,1663
121856,1664
291549,1665
349176,1666
1542877,1667
99770,1668
2899,1669
643215,1670
9929,1671
9564,1672
11625,1673
9642,1674
2395,1675
9318,1676
11047,1677
8868,1678
170522,1679
527729,1680
115070,1681
1032545,1682
609382,1683
466403,1684
408620,1685
576928,1686
623081,1687
524025,1688
1103708,1689
658113,1690
1558889,1691
1430820,1692
394374,1693
1339435,1694
61134,1695
695429,1696
1493875,1697
37172,1698
275871,1699
224061,1700
353692,1701
852046,1702
1481595,1703
56996,1704
200029,1705
592545,1706
547724,1707
66256,1708
464785,1709
278259,1710
788944,1711
890107,1712
34144,1713
10865,1714
614933,1715
991823,1716
341013,1717
4347,1718
618911,1719
71622,1720
300906,1721
1239288,1722
799155,1723
12550,1724
1493590,1725
295830,1726
340382,1727
1333100,1728
75100,1729
16606,1730
69394,1731
129848,1732
279124,1733
798488,1734
407331,1735
565911,1736
38089,1737
20108,1738
1786,1739
11075,1740
1615337,1741
1645162,1742
238651,1743
215015,1744
980044,1745
508362,1746
301614,1747
911835,1748
710692,1749
1336722,1750
188306,1751
307699,1752
1534390,1753
818,1754
817,1755
6972,1756
1631577,1757
1180303,1758
378669,1759
140299,1760
408522,1761
253584,1762
915415,1763
563746,1764
12761,1765
959098,1766
115075,1767
480308,1768
66314,1769
1632755,1770
1646338,1771
65518,1772
634077,1773
919602,1774
1590965,1775
461940,1776
1598938,1777
19995,1778
83533,1779
76600,1780
1268164,1781
677528,1782
469302,1783
279564,1784
1200610,1785
1301732,1786
1373713,1787
1519403,1788
1528879,1789
257346,1790
99861,1791
1003596,1792
299534,1793
299536,1794
1003598,1795
1531405,1796
387330,1797
176104,1798
339925,1799
80923,1800
69575,1801
39039,1802
345141,1803
13483,1804
11005,1805
115124,1806
22448,1807
1067820,1808
985387,1809
500723,1810
1566961,1811
1047957,1812
41806,1813
600046,1814
462522,1815
